Review,Sentiment,Tokens,word_count
wow loved this place,1,"['wow', 'loved', 'place']",3
crust is not good,0,"['crust', 'good']",2
not tasty and the texture was just nasty,0,"['tasty', 'texture', 'nasty']",3
stopped by during the late may bank holiday off rick steve recommendation and loved it,1,"['stopped', 'late', 'may', 'bank', 'holiday', 'rick', 'steve', 'recommendation', 'loved']",9
the selection on the menu was great and so were the prices,1,"['selection', 'menu', 'great', 'price']",4
now i am getting angry and i want my damn pho,0,"['getting', 'angry', 'want', 'damn', 'pho']",5
honeslty it didnt taste that fresh,0,"['honeslty', 'didnt', 'taste', 'fresh']",4
the potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer,0,"['potato', 'like', 'rubber', 'could', 'tell', 'made', 'ahead', 'time', 'kept', 'warmer']",10
the fries were great too,1,"['fry', 'great']",2
a great touch,1,"['great', 'touch']",2
service was very prompt,1,"['service', 'prompt']",2
would not go back,0,"['would', 'go', 'back']",3
the cashier had no care what so ever on what i had to say it still ended up being wayyy overpriced,0,"['cashier', 'care', 'ever', 'say', 'still', 'ended', 'wayyy', 'overpriced']",8
i tried the cape cod ravoli chickenwith cranberrymmmm,1,"['tried', 'cape', 'cod', 'ravoli', 'chickenwith', 'cranberrymmmm']",6
i was disgusted because i was pretty sure that was human hair,0,"['disgusted', 'pretty', 'sure', 'human', 'hair']",5
i was shocked because no signs indicate cash only,0,"['shocked', 'sign', 'indicate', 'cash']",4
highly recommended,1,"['highly', 'recommended']",2
waitress was a little slow in service,0,"['waitress', 'little', 'slow', 'service']",4
this place is not worth your time let alone vegas,0,"['place', 'worth', 'time', 'let', 'alone', 'vega']",6
did not like at all,0,['like'],1
the burrittos blah,0,"['burrittos', 'blah']",2
the food amazing,1,"['food', 'amazing']",2
service is also cute,1,"['service', 'also', 'cute']",3
i could care less the interior is just beautiful,1,"['could', 'care', 'less', 'interior', 'beautiful']",5
so they performed,1,['performed'],1
thats rightthe red velvet cakeohhh this stuff is so good,1,"['thats', 'rightthe', 'red', 'velvet', 'cakeohhh', 'stuff', 'good']",7
 they never brought a salad we asked for,0,"['never', 'brought', 'salad', 'asked']",4
this hole in the wall has great mexican street tacos and friendly staff,1,"['hole', 'wall', 'great', 'mexican', 'street', 'taco', 'friendly', 'staff']",8
took an hour to get our food only 4 tables in restaurant my food was luke warm our sever was running around like he was totally overwhelmed,0,"['took', 'hour', 'get', 'food', '4', 'table', 'restaurant', 'food', 'luke', 'warm', 'sever', 'running', 'around', 'like', 'totally', 'overwhelmed']",16
the worst was the salmon sashimi,0,"['worst', 'salmon', 'sashimi']",3
also there are combos like a burger fries and beer for 23 which is a decent deal,1,"['also', 'combo', 'like', 'burger', 'fry', 'beer', '23', 'decent', 'deal']",9
this was like the final blow,0,"['like', 'final', 'blow']",3
i found this place by accident and i could not be happier,1,"['found', 'place', 'accident', 'could', 'happier']",5
seems like a good quick place to grab a bite of some familiar pub food but do yourself a favor and look elsewhere,0,"['seems', 'like', 'good', 'quick', 'place', 'grab', 'bite', 'familiar', 'pub', 'food', 'favor', 'look', 'elsewhere']",13
overall i like this place a lot,1,"['overall', 'like', 'place', 'lot']",4
the only redeeming quality of the restaurant was that it was very inexpensive,1,"['redeeming', 'quality', 'restaurant', 'inexpensive']",4
ample portions and good prices,1,"['ample', 'portion', 'good', 'price']",4
poor service the waiter made me feel like i was stupid every time he came to the table,0,"['poor', 'service', 'waiter', 'made', 'feel', 'like', 'stupid', 'every', 'time', 'came', 'table']",11
my first visit to hiro was a delight,1,"['first', 'visit', 'hiro', 'delight']",4
service sucks,0,"['service', 'suck']",2
the shrimp tender and moist,1,"['shrimp', 'tender', 'moist']",3
there is not a deal good enough that would drag me into that establishment again,0,"['deal', 'good', 'enough', 'would', 'drag', 'establishment']",6
hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didnt want to eat it for fear of getting sick,0,"['hard', 'judge', 'whether', 'side', 'good', 'grossed', 'melted', 'styrofoam', 'didnt', 'want', 'eat', 'fear', 'getting', 'sick']",14
on a positive note our server was very attentive and provided great service,1,"['positive', 'note', 'server', 'attentive', 'provided', 'great', 'service']",7
frozen pucks of disgust with some of the worst people behind the register,0,"['frozen', 'puck', 'disgust', 'worst', 'people', 'behind', 'register']",7
the only thing i did like was the prime rib and dessert section,1,"['thing', 'like', 'prime', 'rib', 'dessert', 'section']",6
its too bad the food is so damn generic,0,"['bad', 'food', 'damn', 'generic']",4
the burger is good beef cooked just right,1,"['burger', 'good', 'beef', 'cooked', 'right']",5
if you want a sandwich just go to any firehouse,1,"['want', 'sandwich', 'go', 'firehouse']",4
my side greek salad with the greek dressing was so tasty and the pita and hummus was very refreshing,1,"['side', 'greek', 'salad', 'greek', 'dressing', 'tasty', 'pita', 'hummus', 'refreshing']",9
